#rain.dat		rainfall																						
@dataValueAttribs																								
rain	0	9999	mm																					
@dataSetAttribs																								
missingDataVal	-9999																							
dataStart	01.02.1993 07:30																							
dataEnd	31.12.1999 07:30																							
tres	d																							
@statAttribVal																								
name	Serala	New Agatha	Monavein	Mamathola	Thabina	Letaba	Berlyn	Haenertsburg	Letaba Drift	Broederstrom	Glenshiel	Stampblokfo	Eiland	Black Hilss	Modjadji Na	Merensky	Zomerkomst	Duiwelskloo	Westphalia	Vergelegen	Belvedere	De Hoek	Kondowi	
ID	635873W	679267W	679268W	679209W	679508W	679562A	679654W	678776W	679086W	678858W	678836W	678863W	680280W	680225W	679608W	679227W	679197W	679194W	679164W	679141W	679135W	679019W	680494W	
elevation	1742	1105	886	752	571	550	521	1486	916	1620	1431	1426	548	470	679	777	763	850	932	1047	862	1274	421	
x	202963.0141	207894.0822	206920.9903	209975.6043	223211.6524	227073.8055	232229.9759	187477.3073	199700.6204	191361.7981	191551.8462	192452.0083	262331.9406	260528.7770	229634.7726	207556.8244	207512.0079	206380.0266	204339.8175	202573.1843	202345.0934	196388.0413	273728.8457	
y	7340476.358	7348337.635	7346100.719	7346162.824	7346424.407	7357581.895	7354353.755	7350125.051	7350385.761	7359078.484	7350213.113	7355775.777	7382583.166	7368149.186	7384229.287	7364958.563	7367174.669	7372694.297	7372652.849	7359314.081	7370394.951	7362511.051	7371685.417	
dataColumn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
@dataVal																								
19930201	07:30	0	5	5.4	5.5	0	0	0	0	1.5	1.5	1.5	3.5	0	0	1.5	2.5	2.5	0.7	0	4.3	0	4.5	0
19930202	07:30	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19930203	07:30	0	0	0	0	0	8.7	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
19930204	07:30	11.5	23.5	18	9	0	11.1	0	0	58.8	82	47.5	81.5	0	0	22.7	10.5	0	17.5	19	22.5	40.2	63	0
19930205	07:30	0	0	0	0	0	6.7	0	0	0	0	1	0	0	0	0	0	19.7	0.7	0	0	0	0	0
19930206	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19930207	07:30	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0
19930208	07:30	2.5	0	0.5	0	0	10.5	0	0	3.2	0	1.5	0	0	0	0	0	0	0	0	2.5	6.3	0	0
19930209	07:30	0	6.5	2.1	0	0	10.7	0	0	0	8.9	5	14	0	0	1.5	4.5	3	3.5	6.5	3	0	0	0
19930210	07:30	0	0	1.6	0	0	0	0	0	0	4	2.5	1	0	0	0	0	4.5	0	0	1.5	0	6.9	0
19930211	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19930212	07:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19930213	07:30	12.5	0	3.8	0	0	0	0	0	8.6	13	4	9.5	0	0	1.5	0	0	6	0	5.5	0	0	0
19930214	07:30	2.5	4.5	0	5.5	3.5	10.4	0	0	0	1.8	5	0	0	0	0.2	0	2	0	6.7	0	0	8.3	2.5
19930215	07:30	34.5	0	0.1	0	0	0	0.4	0	0	0	3	25.5	0	8.5	6.3	0	0	0	0	0	0	0	7.2
19930216	07:30	12.5	11.5	10	13.5	5	11.4	8	0	48.2	28.5	24	41	0	1	12.6	17	12.5	12.5	14	14.5	13.5	19.3	0
19930217	07:30	1	24	17.9	23	1.1	11.1	0	0	0	65.6	25.5	11.5	0	0	5.7	12	12.5	17.5	16.1	23.5	26.5	0	0
19930218	07:30	0	3	2.1	2	0	10.7	0	3.5	4	13	5.5	19	0	0	0.3	5	5.5	5.8	6.1	8.5	7.6	43.8	0
19930219	07:30	3	0	0.3	0	0	0	0	0	1.8	8.6	2	1	0	0	1.2	0	0	2.5	0	2	2	0	0
19930220	07:30	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.3	0	0	0
